Grid Name,Grid Rows,Grid Columns,Num Of Agents,Num Of Obstacles,Instance Id,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Success,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Runtime,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Solution Cost,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Expanded (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Generated (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Closed List Hits (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Partial Expansions (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Adoptions (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Pruning Successes (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Pruning Failures (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Nodes Expanded With Goal Cost (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Look Ahead Nodes Created (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Conflicts Bypassed With Adoption (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Cardinal Conflict Splits (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Non-Cardinal Conflict Splits (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart MDDs Built (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Nodes Pushed Back (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Restarts (HL),MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,A*/SIC Expanded,A*/SIC Generated,A*/SIC Reopened,A*/SIC BPMX boosts,A*/SIC Closed List Hits,A*/SIC Reopened With Old H,A*/SIC H Updated From Other Area,A*/SIC Max expansion delay,A*/SIC Quick Insertions,A*/SIC Quick Insertions Cancelled,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Quick Insertions,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Quick Insertions Cancelled,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Max Group,MA-CBS-Global-25/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 choosing cardinal conflicts using MDD with merge&restart Solution Depth,
,4,4,3,0,0,1,85.5912,12,12,31,1,1,1,0,1,40.3878,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Random Grid,4,4,3,0,0,1,56.4569,12,12,31,1,1,1,0,1,32.4468,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Random Grid,4,4,3,0,0,1,24.3816,12,12,31,1,1,1,0,1,13.0451,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Random Grid,4,4,3,0,0,1,30.1836,12,12,31,1,1,1,0,1,17.3199,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
ost003d,194,194,5,24422,0,1,46.6383,784,784,1957,1,1,1,0,1,18.4493,784,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
brc202d,481,530,5,211779,0,1,40.0565000000001,903,903,2467,1,1,1,0,1,1.62609999999995,903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
den520d,251,211,10,25726,0,1,74.0602,1482,1482,4168,1,1,1,0,1,60.0693,1482,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,133,666,0,0,0,0,0,0,1611,839,0,0,1,0,
ost003d,251,211,10,25726,0,1,1253.2212,1063,1164,3226,2,1,2,1,1,106.7896,1063,1,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49770,160220,45,0,86378,0,0,3122,49650,3175,0,0,1,1,
brc202d,251,211,10,25726,0,1,35.4245999999998,966,966,2774,1,1,1,0,1,1.67279999999982,966,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
den520d,251,211,15,25726,0,1,69.2855,1646,1646,4703,1,1,1,0,1,3.5581000000002,1646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
ost003d,251,211,15,25726,0,1,69.1184999999996,1535,1535,4363,1,1,1,0,1,3.20640000000003,1535,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
brc202d,251,211,15,25726,0,1,65.5346,1493,1523,4293,1,1,1,0,1,6.36359999999968,1493,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,211,1056,0,0,0,0,0,0,5849,3242,0,0,1,0,
den520d,251,211,20,25726,0,1,132.4824,2076,2082,5842,1,1,1,0,1,40.9205000000002,2076,1,1,0,1,1,0,0,1,2,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,237,1186,0,0,0,0,0,0,2422,1219,0,0,1,0,
ost003d,251,211,20,25726,0,1,121.235499999999,2385,2386,6581,1,1,1,0,1,135.914000000001,2385,1,1,0,0,1,0,0,1,4,7,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,647,3232,0,0,0,0,0,0,3023,1356,0,0,1,0,
brc202d,251,211,20,25726,0,1,106.5756,1924,2653,6963,1,1,1,0,1,130.972500000002,1924,1,1,0,0,1,0,0,1,5,31,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,774,3673,1,0,202,0,0,101,3637,1407,0,0,1,0,
den520d,251,211,25,25726,0,1,249.383900000001,3576,3576,10164,1,1,1,0,1,274.205899999999,3576,1,1,0,0,1,0,0,1,4,6,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6011,19565,0,0,10382,0,0,5123,9601,2111,0,0,1,0,
ost003d,251,211,25,25726,0,1,234.690199999999,2676,3031,8503,1,1,1,0,1,189.425300000001,2676,1,1,0,0,1,0,0,1,4,6,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1284,4725,5,0,1672,0,0,664,4092,1687,0,0,1,0,
brc202d,251,211,25,25726,0,1,182.653400000001,2639,2695,7620,1,1,1,0,1,95.5944999999992,2639,1,1,0,0,1,0,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341,4556,0,0,2081,0,0,1101,3985,1374,0,0,1,0,
den520d,251,211,30,25726,0,1,259.580399999999,3287,3364,9452,1,1,1,0,1,556.469100000002,3287,1,1,0,0,1,0,0,1,6,10,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14885,41026,94,0,33169,0,0,3705,14739,2024,0,0,1,0,
ost003d,251,211,30,25726,0,1,344.6603,3464,4775,12499,1,1,1,0,1,229.746599999999,3464,1,1,0,0,1,0,0,1,3,9,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3727,12221,3,0,6329,0,0,1981,8490,1886,0,0,1,0,
brc202d,251,211,30,25726,0,1,294.117200000001,3773,4201,11524,1,1,1,0,1,170.319600000003,3773,1,1,0,0,1,0,0,1,5,7,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,947,4702,1,0,36,0,0,8,5247,3001,0,0,1,0,
Random Grid,4,4,3,0,0,1,34.5397,12,12,31,1,1,1,0,1,18.52,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
